hour,day_name,day,trades,win_rate,pnl,avg_pnl,sharpe
6,Monday,0,262,50.76335877862596,-1.2400000000000047,-0.0047328244274809335,-0.09025828019517954
22,Tuesday,1,215,50.697674418604656,-1.3000000000000038,-0.006046511627906995,-0.11526070296699394
2,Friday,4,264,50.378787878787875,-3.2800000000000047,-0.012424242424242442,-0.23692163593943227
13,Wednesday,2,328,50.30487804878049,-4.560000000000006,-0.013902439024390261,-0.2652054590207421
17,Friday,4,167,50.29940119760479,-2.340000000000003,-0.014011976047904209,-0.2669005158708261
7,Monday,0,279,50.179211469534046,-4.580000000000005,-0.016415770609319015,-0.31306231538282003
12,Thursday,3,319,50.15673981191222,-5.380000000000006,-0.016865203761755505,-0.32170541953664356
21,Sunday,6,234,50.0,-4.680000000000004,-0.020000000000000018,-0.38128213749934403
14,Friday,4,295,49.83050847457628,-6.900000000000006,-0.023389830508474596,-0.4461066112110351
8,Sunday,6,275,49.81818181818182,-6.500000000000005,-0.023636363636363657,-0.4507532854835081
2,Thursday,3,258,49.6124031007752,-7.160000000000005,-0.02775193798449614,-0.5291874140508006
22,Sunday,6,236,49.57627118644068,-6.720000000000004,-0.02847457627118646,-0.5428717316298923
14,Monday,0,241,49.37759336099585,-7.820000000000004,-0.032448132780083,-0.6186811628744918
15,Wednesday,2,227,49.33920704845815,-7.5400000000000045,-0.03321585903083702,-0.6332440851039384
19,Monday,0,213,48.82629107981221,-9.260000000000003,-0.043474178403755885,-0.8288494113481926
7,Wednesday,2,318,48.42767295597484,-16.360000000000007,-0.05144654088050316,-0.9818237256738652
17,Tuesday,1,148,47.97297297297297,-8.960000000000003,-0.06054054054054056,-1.1536596919569384
11,Friday,4,275,47.63636363636364,-18.500000000000004,-0.06727272727272729,-1.2843405825316343
7,Friday,4,333,47.44744744744745,-23.660000000000007,-0.07105105105105107,-1.3571583846059467
19,Wednesday,2,235,47.23404255319149,-17.700000000000003,-0.07531914893617023,-1.4381075573057849
17,Thursday,3,219,47.03196347031963,-17.380000000000003,-0.07936073059360732,-1.515391305223025
16,Thursday,3,199,46.733668341708544,-16.980000000000004,-0.08532663316582917,-1.6295428029179213
15,Monday,0,191,46.596858638743456,-16.820000000000004,-0.08806282722513091,-1.681928213391929
15,Friday,4,263,46.38783269961977,-24.260000000000005,-0.09224334600760459,-1.7635611897310373
7,Tuesday,1,341,46.04105571847507,-33.82000000000001,-0.09917888563049855,-1.8979884757561132
