timestamp,signal,win,pnl,capital,regime_vol,regime_trend
2025-10-15 04:15:00,YES,True,0.98,2538.10000000044,Low,Medium
2025-10-15 06:15:00,YES,True,0.98,2539.08000000044,Low,Weak
2025-10-15 08:00:00,NO,False,-1.02,2538.06000000044,Low,Weak
2025-10-15 08:15:00,NO,False,-1.02,2537.04000000044,Low,Weak
2025-10-15 10:45:00,YES,True,0.98,2538.02000000044,Low,Weak
2025-10-15 11:00:00,YES,False,-1.02,2537.00000000044,Low,Weak
2025-10-15 11:15:00,YES,True,0.98,2537.98000000044,Low,Weak
2025-10-15 11:45:00,YES,True,0.98,2538.9600000004402,Low,Weak
2025-10-15 12:00:00,YES,False,-1.02,2537.9400000004403,Low,Weak
2025-10-15 12:15:00,YES,True,0.98,2538.9200000004403,Low,Medium
2025-10-15 12:45:00,YES,False,-1.02,2537.9000000004403,Low,Medium
2025-10-15 13:00:00,YES,False,-1.02,2536.8800000004403,Low,Medium
2025-10-15 13:15:00,YES,False,-1.02,2535.8600000004403,Low,Medium
2025-10-15 13:45:00,YES,True,0.98,2536.8400000004403,Medium,Medium
2025-10-15 14:45:00,YES,False,-1.02,2535.8200000004404,Medium,Medium
2025-10-15 15:00:00,YES,True,0.98,2536.8000000004404,Medium,Medium
2025-10-15 15:15:00,YES,False,-1.02,2535.7800000004404,Medium,Medium
2025-10-15 15:45:00,YES,True,0.98,2536.7600000004404,Medium,Medium
2025-10-15 16:00:00,YES,True,0.98,2537.7400000004404,High,Medium
2025-10-15 16:15:00,YES,False,-1.02,2536.7200000004405,High,Medium
2025-10-15 16:45:00,YES,False,-1.02,2535.7000000004405,High,Medium
2025-10-15 17:00:00,YES,True,0.98,2536.6800000004405,High,Medium
2025-10-15 17:15:00,YES,True,0.98,2537.6600000004405,Medium,Medium
2025-10-15 21:00:00,YES,True,0.98,2538.6400000004405,Medium,Weak
2025-10-15 22:45:00,YES,True,0.98,2539.6200000004405,Medium,Weak
2025-10-16 00:00:00,YES,True,0.98,2540.6000000004406,Medium,Medium
2025-10-16 00:45:00,YES,True,0.98,2541.5800000004406,Low,Medium
2025-10-16 02:15:00,NO,True,0.98,2542.5600000004406,Low,Medium
2025-10-16 02:45:00,NO,True,0.98,2543.5400000004406,Low,Medium
2025-10-16 03:00:00,NO,False,-1.02,2542.5200000004406,Low,Medium
2025-10-16 03:15:00,NO,True,0.98,2543.5000000004407,Low,Medium
2025-10-16 04:00:00,NO,True,0.98,2544.4800000004407,Low,Medium
