timestamp,entry_price,exit_price,entry_time,exit_time,rsi,bb_position,signal,predicted,actual,win,outcome,pnl,capital_after,regime_vol,regime_trend,hour,weekday,day_name
2024-02-15 21:00:00,51771.73,51664.28,2024-02-15 21:00:00,2024-02-15 21:15:00,41.71888231929502,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,111332.0,Medium,Weak,21,3,Thursday
2024-02-15 21:15:00,51664.28,51479.31,2024-02-15 21:15:00,2024-02-15 21:30:00,38.505394243839945,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,111230.0,Medium,Weak,21,3,Thursday
2024-02-15 21:30:00,51479.31,51327.27,2024-02-15 21:30:00,2024-02-15 21:45:00,33.69394944199328,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,111128.0,Medium,Weak,21,3,Thursday
2024-02-15 21:45:00,51327.27,51580.0,2024-02-15 21:45:00,2024-02-15 22:00:00,30.338231554176758,lower,BUY_YES,UP,UP,True,WIN,94.0,111222.0,Medium,Strong,21,3,Thursday
2024-02-15 22:00:00,51580.0,51703.89,2024-02-15 22:00:00,2024-02-15 22:15:00,40.8787248301402,lower,BUY_YES,UP,UP,True,WIN,94.0,111316.0,Medium,Strong,22,3,Thursday
2024-02-16 02:00:00,52144.01,52048.61,2024-02-16 02:00:00,2024-02-16 02:15:00,59.76569713721372,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111410.0,Medium,Weak,2,4,Friday
2024-02-16 02:45:00,52168.15,52271.12,2024-02-16 02:45:00,2024-02-16 03:00:00,59.54760337430219,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,111308.0,Medium,Weak,2,4,Friday
2024-02-16 03:00:00,52271.12,52131.47,2024-02-16 03:00:00,2024-02-16 03:15:00,62.856155272391824,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111402.0,Medium,Weak,3,4,Friday
2024-02-16 03:30:00,52320.0,52280.25,2024-02-16 03:30:00,2024-02-16 03:45:00,62.038243780723626,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111496.0,Medium,Weak,3,4,Friday
2024-02-16 03:45:00,52280.25,52257.99,2024-02-16 03:45:00,2024-02-16 04:00:00,60.20235787644172,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111590.0,Medium,Weak,3,4,Friday
2024-02-16 04:00:00,52257.99,52232.77,2024-02-16 04:00:00,2024-02-16 04:15:00,59.14678064567843,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111684.0,Medium,Weak,4,4,Friday
2024-02-16 06:45:00,51897.95,51905.57,2024-02-16 06:45:00,2024-02-16 07:00:00,41.38526433256411,lower,BUY_YES,UP,UP,True,WIN,94.0,111778.0,Medium,Weak,6,4,Friday
2024-02-16 07:00:00,51905.57,51944.42,2024-02-16 07:00:00,2024-02-16 07:15:00,41.83059518053916,lower,BUY_YES,UP,UP,True,WIN,94.0,111872.0,Medium,Weak,7,4,Friday
2024-02-16 07:30:00,51829.9,51731.99,2024-02-16 07:30:00,2024-02-16 07:45:00,39.179399936129826,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,111770.0,Medium,Weak,7,4,Friday
2024-02-16 07:45:00,51731.99,51810.0,2024-02-16 07:45:00,2024-02-16 08:00:00,35.493598812020934,lower,BUY_YES,UP,UP,True,WIN,94.0,111864.0,Medium,Weak,7,4,Friday
2024-02-16 08:00:00,51810.0,51771.99,2024-02-16 08:00:00,2024-02-16 08:15:00,40.3116519770901,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,111762.0,Medium,Weak,8,4,Friday
2024-02-16 08:15:00,51771.99,51922.01,2024-02-16 08:15:00,2024-02-16 08:30:00,38.7913295071891,lower,BUY_YES,UP,UP,True,WIN,94.0,111856.0,Medium,Weak,8,4,Friday
2024-02-16 09:00:00,51738.34,51777.38,2024-02-16 09:00:00,2024-02-16 09:15:00,39.73413769834381,lower,BUY_YES,UP,UP,True,WIN,94.0,111950.0,Medium,Weak,9,4,Friday
2024-02-16 09:15:00,51777.38,51900.01,2024-02-16 09:15:00,2024-02-16 09:30:00,41.92714940883223,lower,BUY_YES,UP,UP,True,WIN,94.0,112044.0,Medium,Weak,9,4,Friday
2024-02-16 10:45:00,52300.0,52244.61,2024-02-16 10:45:00,2024-02-16 11:00:00,64.30258562933716,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,112138.0,Medium,Weak,10,4,Friday
2024-02-16 11:00:00,52244.61,52270.12,2024-02-16 11:00:00,2024-02-16 11:15:00,61.41531804495587,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,112036.0,Medium,Weak,11,4,Friday
2024-02-16 11:15:00,52270.12,52332.78,2024-02-16 11:15:00,2024-02-16 11:30:00,62.255883692659296,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,111934.0,Medium,Weak,11,4,Friday
2024-02-16 11:30:00,52332.78,52213.86,2024-02-16 11:30:00,2024-02-16 11:45:00,64.31242915922512,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,112028.0,Medium,Weak,11,4,Friday
2024-02-16 12:00:00,52273.46,52209.92,2024-02-16 12:00:00,2024-02-16 12:15:00,60.029800843899594,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,112122.0,Medium,Weak,12,4,Friday
2024-02-16 12:30:00,52276.01,52383.44,2024-02-16 12:30:00,2024-02-16 12:45:00,59.23081009552567,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,112020.0,Medium,Weak,12,4,Friday
2024-02-16 12:45:00,52383.44,52374.21,2024-02-16 12:45:00,2024-02-16 13:00:00,63.02734268511786,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,112114.0,Medium,Weak,12,4,Friday
2024-02-16 13:00:00,52374.21,52341.1,2024-02-16 13:00:00,2024-02-16 13:15:00,62.48892549661837,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,112208.0,Medium,Weak,13,4,Friday
2024-02-16 13:45:00,52464.0,52196.0,2024-02-16 13:45:00,2024-02-16 14:00:00,63.98132515851299,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,112302.0,Medium,Weak,13,4,Friday
2024-02-16 14:45:00,51920.31,51645.0,2024-02-16 14:45:00,2024-02-16 15:00:00,41.221752707149285,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,112200.0,Medium,Weak,14,4,Friday
