hour,day_name,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
1,Friday,238,136,102,57.14285714285714,29.239999999999995,0.12285714285714283,2.366518801847092,0.98,-1.02,1.281045751633988,0.7017056053466743,0.482862776614873,50.791256131492254,63.26753276173371,NO
11,Wednesday,310,177,133,57.096774193548384,37.8,0.12193548387096774,2.3496013093526855,0.98,-1.02,1.2786377708978334,0.7845375613195293,0.43272475097686636,51.53336621497526,62.486445052874494,NO
14,Saturday,263,150,113,57.03422053231939,31.739999999999995,0.12068441064638781,2.324402207014473,0.98,-1.02,1.2753774076002091,0.7022350093185683,0.48253261599014463,50.99247223334572,62.87343173365193,NO
6,Wednesday,314,179,135,57.00636942675159,37.71999999999999,0.12012738853503183,2.3142062685116866,0.98,-1.02,1.273928830791577,0.7573896740840865,0.44881644060478165,51.478327315606776,62.36504623901917,NO
11,Saturday,244,139,105,56.9672131147541,29.119999999999997,0.11934426229508195,2.297809291178194,0.98,-1.02,1.271895424836602,0.6553594532585072,0.512236350647651,50.6940103835109,63.024429135924095,NO
3,Tuesday,218,124,94,56.88073394495413,25.639999999999997,0.11761467889908256,2.263399982282626,0.98,-1.02,1.2674176053400095,0.5938000059472897,0.5526458850827991,50.2434150772851,63.27974739539811,NO
20,Sunday,190,108,82,56.84210526315789,22.199999999999996,0.11684210526315787,2.2475259183222254,0.98,-1.02,1.2654232424677199,0.5436557309343599,0.5866784012012025,49.73253973081053,63.680473781252935,NO
7,Sunday,267,151,116,56.55430711610487,29.659999999999997,0.11108614232209736,2.136757822885079,0.98,-1.02,1.2506761325219755,0.5499658396122924,0.5823428039868941,50.5571769065821,62.365505576463356,NO
16,Sunday,145,82,63,56.55172413793104,16.099999999999998,0.11103448275862067,2.1323689823460006,0.98,-1.02,1.2505446623093686,0.40466327032689803,0.6857250441587264,48.41734516942064,64.34790325575082,NO
0,Thursday,213,120,93,56.33802816901409,22.739999999999995,0.10676056338028167,2.0514121734050925,0.98,-1.02,1.2397216951296657,0.42778051324155086,0.6688109255792365,49.62336931658493,62.82811600726438,NO
15,Tuesday,206,116,90,56.310679611650485,21.879999999999995,0.10621359223300969,2.040595033149142,0.98,-1.02,1.2383442265795217,0.41280436999054626,0.6797499494771313,49.48306100418884,62.90723720169598,NO
16,Wednesday,183,103,80,56.284153005464475,19.339999999999996,0.1056830601092896,2.0296420387677845,0.98,-1.02,1.2370098039215696,0.38186626635319537,0.7025605630754788,49.041116849527185,63.268775594125614,NO
14,Sunday,221,124,97,56.10859728506787,22.579999999999995,0.10217194570135744,1.9622704689077677,0.98,-1.02,1.2282191227006276,0.3671980301965998,0.7134713085305211,49.51671185543104,62.49174209615087,NO
3,Monday,189,106,83,56.08465608465608,19.219999999999995,0.10169312169312167,1.9522069907343995,0.98,-1.02,1.2270257500590607,0.33296021632918804,0.7391643140690136,48.95775386637669,62.969133278305776,NO
10,Monday,255,143,112,56.07843137254902,25.899999999999995,0.10156862745098037,1.9511287964888777,0.98,-1.02,1.2267156862745106,0.38475352984178535,0.700420031333274,49.94143752936025,62.0349990248876,NO
4,Thursday,280,157,123,56.07142857142857,28.399999999999995,0.10142857142857141,1.948747094365846,0.98,-1.02,1.2263669695520496,0.40081826539055715,0.6885539300467831,50.214862461141365,61.763649497641296,NO
8,Tuesday,346,194,152,56.06936416184971,35.07999999999999,0.1013872832369942,1.9486097016323678,0.98,-1.02,1.2262641898864817,0.4447886633493247,0.656472487770718,50.80152851479468,61.203904801311815,NO
3,Saturday,182,102,80,56.043956043956044,18.359999999999996,0.10087912087912086,1.9361884607378754,0.98,-1.02,1.225000000000001,0.31570197210445045,0.752228729679763,48.781868860661035,63.05616955484982,NO
12,Friday,311,174,137,55.948553054662376,30.779999999999994,0.09897106109324758,1.9013006503155951,0.98,-1.02,1.2202662086732512,0.3788775708551295,0.7047787805517098,50.39165336388379,61.360287929769896,NO
16,Friday,186,104,82,55.91397849462365,18.279999999999998,0.0982795698924731,1.885812127029693,0.98,-1.02,1.2185557149689152,0.283529182622356,0.7767712145466905,48.73058605894378,62.858022549496084,NO
16,Tuesday,163,91,72,55.828220858895705,15.739999999999997,0.09656441717791409,1.851816397085884,0.98,-1.02,1.214324618736384,0.2434182590440413,0.8076814004490918,48.157481995645135,63.23056511011266,NO
2,Sunday,242,135,107,55.78512396694215,23.159999999999997,0.09570247933884296,1.8369488217458159,0.98,-1.02,1.2122045079714137,0.2831242749476766,0.7770815738597991,49.485778536608,61.90366897756373,NO
9,Sunday,278,155,123,55.75539568345324,26.439999999999994,0.09510791366906472,1.8258999181207192,0.98,-1.02,1.210744460385781,0.29349233348848386,0.7691458586189448,49.877763837610246,61.476131399998394,NO
15,Sunday,176,98,78,55.68181818181818,16.479999999999997,0.09363636363636361,1.7954610789934946,0.98,-1.02,1.2071392659627964,0.21390760809656909,0.8306191071483267,48.299065872765404,62.8218316281465,NO
10,Friday,259,144,115,55.5984555984556,23.819999999999997,0.09196911196911195,1.7647695367843523,0.98,-1.02,1.2030690537084407,0.23252892873634032,0.816127221000555,49.50932511887378,61.52393597830413,NO
14,Tuesday,277,154,123,55.5956678700361,25.459999999999994,0.091913357400722,1.7639106250550105,0.98,-1.02,1.2029332058026472,0.23954098054576953,0.8106861233277725,49.70751928528267,61.33073145819693,NO
