# Precision Temporal Analysis Matrix
# Baseline WR: 54.88%
hour,day_name,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor
15,Wednesday,Q1,61,35,26,57.377049180327866,7.779999999999999,0.12754098360655736,2.4433520406891196,0.98,-1.02,1.2933634992458518
13,Saturday,Q3,61,35,26,57.377049180327866,7.779999999999999,0.12754098360655736,2.4433520406891196,0.98,-1.02,1.2933634992458518
6,Friday,Q4,75,43,32,57.333333333333336,9.499999999999998,0.12666666666666665,2.430054719532562,0.98,-1.02,1.2910539215686272
22,Friday,Q4,56,32,24,57.14285714285714,6.879999999999999,0.12285714285714285,2.3502366585496186,0.98,-1.02,1.2810457516339868
20,Monday,Q2,56,32,24,57.14285714285714,6.879999999999999,0.12285714285714285,2.3502366585496186,0.98,-1.02,1.2810457516339868
20,Thursday,Q2,70,40,30,57.14285714285714,8.599999999999998,0.12285714285714283,2.354505938468984,0.98,-1.02,1.281045751633987
12,Thursday,Q3,77,44,33,57.14285714285714,9.459999999999999,0.12285714285714285,2.356056485847095,0.98,-1.02,1.2810457516339866
22,Tuesday,Q1,56,32,24,57.14285714285714,6.879999999999999,0.12285714285714285,2.3502366585496186,0.98,-1.02,1.2810457516339868
22,Monday,Q3,56,32,24,57.14285714285714,6.879999999999999,0.12285714285714285,2.3502366585496177,0.98,-1.02,1.2810457516339868
12,Tuesday,Q4,77,44,33,57.14285714285714,9.459999999999999,0.12285714285714285,2.3560564858470947,0.98,-1.02,1.2810457516339866
6,Monday,Q4,70,40,30,57.14285714285714,8.599999999999998,0.12285714285714283,2.354505938468984,0.98,-1.02,1.281045751633987
21,Tuesday,Q4,49,28,21,57.14285714285714,6.02,0.12285714285714285,2.3471824185866863,0.98,-1.02,1.281045751633987
15,Tuesday,Q4,49,28,21,57.14285714285714,6.02,0.12285714285714285,2.3471824185866867,0.98,-1.02,1.281045751633987
12,Friday,Q1,86,49,37,56.97674418604651,10.279999999999998,0.1195348837209302,2.2928248836814094,0.98,-1.02,1.272390037095919
22,Saturday,Q2,51,29,22,56.86274509803921,5.979999999999999,0.1172549019607843,2.2392737820813347,0.98,-1.02,1.2664884135472372
4,Monday,Q4,51,29,22,56.86274509803921,5.979999999999999,0.1172549019607843,2.2392737820813347,0.98,-1.02,1.2664884135472372
23,Thursday,Q4,44,25,19,56.81818181818182,5.119999999999999,0.11636363636363635,2.2184389528584747,0.98,-1.02,1.2641898864809082
16,Friday,Q2,44,25,19,56.81818181818182,5.119999999999999,0.11636363636363635,2.2184389528584747,0.98,-1.02,1.2641898864809082
15,Sunday,Q2,44,25,19,56.81818181818182,5.119999999999999,0.11636363636363635,2.2184389528584747,0.98,-1.02,1.2641898864809082
18,Friday,Q1,44,25,19,56.81818181818182,5.119999999999999,0.11636363636363635,2.2184389528584747,0.98,-1.02,1.2641898864809082
16,Monday,Q1,44,25,19,56.81818181818182,5.119999999999999,0.11636363636363635,2.2184389528584747,0.98,-1.02,1.2641898864809082
10,Wednesday,Q1,88,50,38,56.81818181818182,10.239999999999998,0.11636363636363635,2.2312995762656036,0.98,-1.02,1.2641898864809076
23,Thursday,Q2,37,21,16,56.75675675675676,4.26,0.11513513513513512,2.189811767972439,0.98,-1.02,1.261029411764706
16,Sunday,Q1,37,21,16,56.75675675675676,4.26,0.11513513513513512,2.189811767972439,0.98,-1.02,1.261029411764706
8,Monday,Q2,74,42,32,56.75675675675676,8.52,0.11513513513513512,2.2049663554941152,0.98,-1.02,1.2610294117647058
7,Monday,Q1,67,38,29,56.71641791044776,7.659999999999998,0.1143283582089552,2.187706087947417,0.98,-1.02,1.258958755916159
21,Friday,Q2,60,34,26,56.666666666666664,6.799999999999999,0.11333333333333331,2.166454624732685,0.98,-1.02,1.2564102564102562
0,Sunday,Q2,60,34,26,56.666666666666664,6.799999999999999,0.11333333333333331,2.166454624732685,0.98,-1.02,1.2564102564102562
