hour,day_name,quarter,trades,wins,pnl,win_rate
7,Saturday,Q3,55,30,3.899999999999999,54.54545454545454
7,Saturday,Q4,59,37,13.819999999999999,62.71186440677966
7,Sunday,Q1,62,41,18.759999999999998,66.12903225806451
7,Sunday,Q2,63,29,-6.260000000000002,46.03174603174603
7,Sunday,Q3,69,37,3.6199999999999988,53.62318840579711
7,Sunday,Q4,73,44,13.54,60.273972602739725
7,Thursday,Q1,69,26,-18.380000000000003,37.68115942028986
7,Thursday,Q2,76,47,16.479999999999997,61.8421052631579
7,Thursday,Q3,78,42,4.439999999999999,53.84615384615385
7,Thursday,Q4,82,49,14.36,59.756097560975604
7,Tuesday,Q1,81,40,-2.6200000000000014,49.382716049382715
7,Tuesday,Q2,90,39,-13.8,43.333333333333336
7,Tuesday,Q3,83,36,-12.660000000000002,43.373493975903614
7,Tuesday,Q4,87,42,-4.740000000000002,48.275862068965516
7,Wednesday,Q1,78,39,-1.5600000000000014,50.0
7,Wednesday,Q2,83,45,5.339999999999998,54.21686746987952
7,Wednesday,Q3,77,31,-16.540000000000003,40.25974025974026
7,Wednesday,Q4,80,39,-3.6000000000000014,48.75
8,Friday,Q1,82,45,6.3599999999999985,54.87804878048781
8,Friday,Q2,90,52,12.2,57.77777777777777
8,Friday,Q3,71,37,1.5799999999999987,52.112676056338024
8,Friday,Q4,72,40,6.559999999999999,55.55555555555556
8,Monday,Q1,67,28,-12.340000000000002,41.7910447761194
8,Monday,Q2,74,42,8.52,56.75675675675676
8,Monday,Q3,65,38,9.7,58.46153846153847
8,Monday,Q4,55,34,11.899999999999999,61.81818181818181
8,Saturday,Q1,56,39,20.88,69.64285714285714
8,Saturday,Q2,56,40,22.88,71.42857142857143
8,Saturday,Q3,50,25,-1.0000000000000009,50.0
8,Saturday,Q4,55,36,15.899999999999999,65.45454545454545
8,Sunday,Q1,69,34,-2.3800000000000012,49.275362318840585
8,Sunday,Q2,72,38,2.5599999999999987,52.77777777777778
8,Sunday,Q3,63,27,-10.260000000000002,42.857142857142854
8,Sunday,Q4,71,38,3.5799999999999987,53.52112676056338
8,Thursday,Q1,84,49,12.319999999999999,58.333333333333336
8,Thursday,Q2,83,49,13.339999999999998,59.036144578313255
8,Thursday,Q3,76,40,2.4799999999999986,52.63157894736842
8,Thursday,Q4,73,44,13.54,60.273972602739725
8,Tuesday,Q1,87,54,19.259999999999998,62.06896551724138
8,Tuesday,Q2,87,44,-0.7400000000000015,50.57471264367817
8,Tuesday,Q3,87,42,-4.740000000000002,48.275862068965516
8,Tuesday,Q4,85,54,21.299999999999997,63.52941176470588
8,Wednesday,Q1,84,43,0.3199999999999985,51.19047619047619
8,Wednesday,Q2,80,35,-11.600000000000001,43.75
8,Wednesday,Q3,81,43,3.3799999999999986,53.086419753086425
8,Wednesday,Q4,80,44,6.399999999999999,55.00000000000001
9,Friday,Q1,84,42,-1.6800000000000015,50.0
9,Friday,Q2,85,46,5.299999999999999,54.11764705882353
9,Friday,Q3,77,37,-4.540000000000001,48.05194805194805
9,Friday,Q4,72,39,4.559999999999999,54.166666666666664
9,Monday,Q1,61,32,1.779999999999999,52.459016393442624
9,Monday,Q2,57,27,-4.140000000000001,47.368421052631575
9,Monday,Q3,63,33,1.7399999999999989,52.38095238095239
9,Monday,Q4,64,35,4.719999999999999,54.6875
9,Saturday,Q1,62,38,12.759999999999998,61.29032258064516
9,Saturday,Q2,59,33,5.8199999999999985,55.932203389830505
9,Saturday,Q3,51,35,17.98,68.62745098039215
9,Saturday,Q4,56,31,4.879999999999999,55.35714285714286
9,Sunday,Q1,70,38,4.599999999999999,54.285714285714285
9,Sunday,Q2,72,38,2.5599999999999987,52.77777777777778
9,Sunday,Q3,64,31,-3.280000000000001,48.4375
9,Sunday,Q4,72,48,22.56,66.66666666666666
9,Thursday,Q1,71,37,1.5799999999999987,52.112676056338024
9,Thursday,Q2,72,39,4.559999999999999,54.166666666666664
9,Thursday,Q3,73,37,-0.4600000000000013,50.68493150684932
9,Thursday,Q4,77,41,3.4599999999999986,53.246753246753244
9,Tuesday,Q1,71,35,-2.4200000000000013,49.29577464788733
9,Tuesday,Q2,77,41,3.4599999999999986,53.246753246753244
9,Tuesday,Q3,76,34,-9.520000000000001,44.73684210526316
9,Tuesday,Q4,83,51,17.34,61.44578313253012
9,Wednesday,Q1,71,42,11.579999999999998,59.154929577464785
9,Wednesday,Q2,70,38,4.599999999999999,54.285714285714285
9,Wednesday,Q3,84,44,2.3199999999999985,52.38095238095239
9,Wednesday,Q4,88,39,-11.760000000000002,44.31818181818182
10,Friday,Q1,67,39,9.659999999999998,58.2089552238806
10,Friday,Q2,61,34,5.779999999999999,55.73770491803278
10,Friday,Q3,61,24,-14.22,39.34426229508197
10,Friday,Q4,70,47,22.599999999999998,67.14285714285714
10,Monday,Q1,68,28,-13.360000000000001,41.17647058823529
10,Monday,Q2,55,31,5.899999999999999,56.36363636363636
10,Monday,Q3,70,47,22.599999999999998,67.14285714285714
10,Monday,Q4,62,37,10.759999999999998,59.67741935483871
10,Saturday,Q1,57,29,-0.140000000000001,50.877192982456144
10,Saturday,Q2,69,42,13.62,60.86956521739131
10,Saturday,Q3,67,35,1.6599999999999988,52.23880597014925
10,Saturday,Q4,62,35,6.759999999999999,56.451612903225815
